Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://github.com/AthenZ/athenz,5792,0,18,20.30826750690513,14.765500000066822,75.06570000032298,26922.0,19.33318015071974,0.0,18,20,21,22,27,33,42,48,67,75,75
GET,/?url=https://github.com/Blealtan/efficient-kan,5793,0,18,20.048814603834924,14.348400000017136,101.92089999964082,12671.0,19.336518061657365,0.0,18,20,21,22,27,32,40,48,76,100,100
GET,/?url=https://github.com/adrianhajdin/banking,5790,0,18,20.306960518131415,14.675800000077288,73.11130000016419,20867.0,19.326504328844493,0.0,18,20,21,23,27,34,42,49,67,73,73
GET,/?url=https://github.com/codecrafters-io/build-your-own-x,5790,0,21,23.48319778928858,16.90680000001521,84.85269999982847,75066.0,19.326504328844493,0.0,21,23,25,26,31,37,46,55,77,85,85
GET,/?url=https://github.com/fastfetch-cli/fastfetch,5790,0,18,20.291133350605847,14.689999999973224,90.3149000000667,22222.0,19.326504328844493,0.0,18,20,21,23,27,33,43,50,68,90,90
GET,/?url=https://github.com/features/actions,5795,0,25,37.910240776533534,17.17800000005809,1320.152099999632,17370.0,19.343193883532614,0.0,25,28,30,32,41,69,270,370,1300,1300,1300
GET,/?url=https://github.com/huggingface/candle,5791,0,18,20.58349754791865,14.840499999991152,81.2844999995832,31000.0,19.329842239782117,0.0,18,20,22,23,27,33,43,50,68,81,81
GET,/?url=https://github.com/karpathy/llm.c,5793,0,18,20.111729742791574,14.596399999845744,81.36579999973037,20429.0,19.336518061657365,0.0,18,20,21,22,27,32,40,48,64,81,81
GET,/?url=https://github.com/marketplace/naming-conventions-bot,5792,0,18,19.83486300069117,14.418499999919732,80.3633999998965,13038.0,19.33318015071974,0.0,18,19,21,22,26,32,40,50,69,80,80
GET,/?url=https://github.com/tokio-rs/axum,5790,0,18,20.144528601037393,14.527600000292296,94.1861000001154,17965.0,19.326504328844493,0.0,18,20,21,22,27,33,43,48,68,94,94
,Aggregated,57916,0,19,22.303256858208066,14.348400000017136,1320.152099999632,25753.014192969127,193.31844986344692,0.0,19,21,23,24,29,36,47,58,370,1300,1300
