Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://github.com/AthenZ/athenz,262,0,6300.0,8775.325127480926,2818.7731999996686,60071.357999999236,25825.282442748092,0.4599919880409747,0.0,6300,7000,7300,7700,8900,12000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/Blealtan/efficient-kan,283,0,5400.0,9433.0795484099,831.7976000007548,60073.905999999624,11952.067137809187,0.4968615748686864,0.0,5400,6200,6800,7100,8900,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/adrianhajdin/banking,250,0,11000.0,13583.174419999998,5681.450000000041,60066.885600000205,20279.992,0.4389236527108537,0.0,11000,13000,14000,16000,19000,20000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/codecrafters-io/build-your-own-x,250,0,7800.0,12811.786041600008,4174.831300000733,60073.444099999506,68821.36,0.4389236527108537,0.0,7800,8700,9200,10000,15000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/fastfetch-cli/fastfetch,250,0,6200.0,6330.413009199976,2773.6808999998175,11000.482599999486,22136.68,0.4389236527108537,0.0,6200,7000,7200,7600,8400,8800,9600,10000,11000,11000,11000
GET,/?url=https://github.com/features/actions,292,0,5800.0,9954.558116095923,665.0651999998445,60083.31150000049,16236.777397260274,0.5126628263662771,0.0,5800,6600,7200,7800,10000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/huggingface/candle,256,0,6800.0,8156.008260156201,3357.6493999999,60073.86129999941,30037.1953125,0.4494578203759142,0.0,6800,7700,8300,8600,9300,11000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/karpathy/llm.c,276,0,6400.0,10338.389523550726,920.7345000004352,60074.55240000036,19864.804347826088,0.4845717125927825,0.0,6500,7400,8000,8300,10000,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/marketplace/naming-conventions-bot,269,0,5200.0,8898.333546840147,1875.6044000001566,60073.55069999994,12330.338289962825,0.4722818503168786,0.0,5200,5600,6100,6300,7400,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/tokio-rs/axum,250,0,6800.0,10557.816127199974,4030.221499999243,60072.047500000735,16898.368,0.4389236527108537,0.0,6800,7500,8000,8600,11000,60000,60000,60000,60000,60000,60000
,Aggregated,2638,0,6500.0,9867.782567172091,665.0651999998445,60083.31150000049,24038.27407126611,4.631522383404929,0.0,6500,7500,8300,8900,12000,60000,60000,60000,60000,60000,60000
