Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1715006689,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1715006690,15,,Aggregated,0.000000,0.000000,29,40,48,56,77,100,120,140,150,150,150,150,0,29,37.90331800003211,7.25959999999759,146.3263999994524,25842.7
1715006691,45,,Aggregated,0.000000,0.000000,34,45,54,59,75,97,120,130,150,150,150,300,0,33,39.95017666667991,7.25959999999759,146.3263999994524,25842.7
1715006692,60,,Aggregated,0.000000,0.000000,30,41,49,57,71,83,110,130,150,150,150,450,0,30,37.16873466668403,6.782800000110001,146.3263999994524,25842.7
1715006693,75,,Aggregated,150.000000,0.000000,30,39,47,51,65,81,100,120,150,150,150,600,0,30,36.00218733333804,6.782800000110001,146.3263999994524,25842.7
1715006694,90,,Aggregated,150.000000,0.000000,29,37,45,49,64,79,100,120,700,700,700,730,0,29,35.57154136986181,4.7507999997833394,696.2862999998833,25842.7
1715006695,105,,Aggregated,150.000000,0.000000,28,36,43,48,64,84,300,410,1300,1300,1300,900,0,28,42.38790722222297,4.7507999997833394,1283.479400000033,25842.7
1715006696,120,,Aggregated,144.000000,0.000000,27,35,42,47,65,97,400,450,1300,1300,1300,1080,0,27,45.942221944445315,4.7507999997833394,1283.479400000033,25842.7
1715006697,135,,Aggregated,146.666667,0.000000,25,33,40,46,64,100,370,450,1300,1300,1300,1320,0,25,45.121997651515564,4.441299999598414,1283.479400000033,25842.7
1715006698,150,,Aggregated,147.142857,0.000000,25,33,41,47,65,150,370,450,1300,1300,1300,1580,0,25,47.228579873426206,4.441299999598414,1283.479400000033,25842.7
1715006699,150,,Aggregated,155.000000,0.000000,24,32,39,45,65,200,370,430,1300,1300,1300,1830,0,24,45.97789732241353,4.441299999598414,1283.479400000033,25842.7
1715006700,150,,Aggregated,161.222222,0.000000,22,30,37,43,63,130,360,420,1300,1300,1300,1980,0,22,43.22644919192676,4.441299999598414,1283.479400000033,25842.7
1715006701,150,,Aggregated,175.000000,0.000000,21,28,35,41,61,110,330,420,890,1300,1300,2130,0,21,41.014893474186906,4.441299999598414,1283.479400000033,25842.7
1715006702,150,,Aggregated,178.700000,0.000000,19,27,33,39,58,90,320,410,890,1300,1300,2353,0,19,38.28156468338603,4.441299999598414,1283.479400000033,25829.90097747556
1715006703,150,,Aggregated,180.000000,0.000000,18,26,32,37,57,85,320,410,890,1300,1300,2487,0,18,36.66885432247998,4.441299999598414,1283.479400000033,25816.43908323281
1715006704,150,,Aggregated,184.000000,0.000000,17,24,31,36,54,81,310,410,890,1300,1300,2650,0,17,34.88375022641684,4.394499999762047,1283.479400000033,25842.7
1715006705,150,,Aggregated,184.800000,0.000000,16,23,29,34,51,76,300,400,890,1300,1300,2853,0,16,33.16895212057468,4.394499999762047,1283.479400000033,25833.498072204697
1715006706,150,,Aggregated,184.000000,0.000000,15,22,28,32,49,73,300,390,710,1300,1300,3083,0,15,31.57858264677775,4.394499999762047,1283.479400000033,25820.23937722997
1715006707,150,,Aggregated,187.500000,0.000000,14,21,26,30,47,70,280,370,710,1300,1300,3356,0,14,29.77561305125408,4.290900000341935,1283.479400000033,25832.92222884386
1715006708,150,,Aggregated,194.000000,0.000000,14,20,25,29,46,65,270,370,710,1300,1300,3580,0,14,28.594469525143197,4.290900000341935,1283.479400000033,25842.7
1715006709,150,,Aggregated,200.300000,0.000000,13,19,24,28,44,64,260,370,710,1300,1300,3800,0,13,27.486550631582404,4.290900000341935,1283.479400000033,25842.7
1715006710,150,,Aggregated,204.800000,0.000000,13,18,23,27,43,63,250,360,710,1300,1300,3951,0,13,26.750002657557804,4.290900000341935,1283.479400000033,25840.555555555555
1715006711,150,,Aggregated,195.400000,0.000000,12,18,23,27,42,62,240,340,700,1300,1300,4128,0,12,26.008746293606343,4.290900000341935,1283.479400000033,25818.299176356588
1715006712,150,,Aggregated,195.300000,0.000000,12,17,22,26,41,61,230,330,700,1300,1300,4308,0,12,25.29464345403989,4.290900000341935,1283.479400000033,25797.058727948002
1715006713,150,,Aggregated,192.600000,0.000000,12,17,21,25,40,60,210,330,700,1300,1300,4494,0,12,24.616988273253853,4.290900000341935,1283.479400000033,25834.008900756566
1715006714,150,,Aggregated,195.000000,0.000000,11,16,21,24,39,59,170,320,700,1300,1300,4700,0,11,23.906681127659024,4.290900000341935,1283.479400000033,25826.540638297873
1715006715,150,,Aggregated,197.400000,0.000000,11,16,20,24,38,57,140,320,700,1300,1300,4878,0,11,23.412877900778668,4.290900000341935,1283.479400000033,25834.051045510456
1715006716,150,,Aggregated,202.800000,0.000000,11,16,20,23,37,56,120,320,700,1300,1300,5120,0,11,22.839317207030444,4.290900000341935,1283.479400000033,25842.7
1715006717,150,,Aggregated,201.500000,0.000000,11,15,19,23,36,54,110,310,700,1300,1300,5340,0,11,22.223882734080497,4.290900000341935,1283.479400000033,25830.237827715355
1715006718,150,,Aggregated,201.000000,0.000000,10,15,19,22,35,53,100,310,700,1300,1300,5520,0,10,21.8034734601424,4.290900000341935,1283.479400000033,25842.7
1715006719,150,,Aggregated,201.000000,0.000000,10,14,18,22,34,51,99,310,700,1300,1300,5675,0,10,21.426647964753887,4.290900000341935,1283.479400000033,25836.00845814978
1715006720,150,,Aggregated,195.300000,0.000000,10,14,18,21,34,50,90,300,700,1300,1300,5830,0,10,21.053307375639218,4.290900000341935,1283.479400000033,25842.7
1715006721,150,,Aggregated,190.100000,0.000000,10,14,18,21,33,50,88,300,700,1300,1300,5990,0,10,20.763098998326882,4.290900000341935,1283.479400000033,25842.7
1715006722,150,,Aggregated,186.000000,0.000000,10,14,17,20,32,49,85,290,700,1300,1300,6283,0,10,20.235064061750876,4.290900000341935,1283.479400000033,25838.52156613083
1715006723,150,,Aggregated,182.100000,0.000000,10,14,17,20,32,48,83,290,700,1300,1300,6409,0,10,19.992611686688292,4.290900000341935,1283.479400000033,25821.54704322047
1715006724,150,,Aggregated,191.700000,0.000000,10,13,17,20,31,47,80,290,700,1300,1300,6680,0,10,19.621367574848396,4.290900000341935,1283.479400000033,25842.7
1715006725,150,,Aggregated,193.800000,0.000000,10,13,17,20,30,47,79,280,700,1300,1300,6859,0,10,19.44416589881729,4.290900000341935,1283.479400000033,25812.47587111824
1715006726,150,,Aggregated,196.200000,0.000000,10,13,17,20,30,47,82,280,690,1300,1300,7083,0,10,19.514209981643706,4.290900000341935,1283.479400000033,25830.117464351264
1715006727,150,,Aggregated,196.000000,0.000000,10,13,17,19,30,46,81,270,690,1300,1300,7220,0,10,19.281703518003848,4.290900000341935,1283.479400000033,25842.7
1715006728,150,,Aggregated,195.200000,0.000000,10,13,16,19,29,46,79,270,690,1300,1300,7440,0,10,19.05679364247022,4.290900000341935,1283.479400000033,25842.7
1715006729,150,,Aggregated,191.000000,0.000000,10,13,16,19,29,45,77,260,690,1300,1300,7574,0,10,18.85884182730143,4.290900000341935,1283.479400000033,25837.543174016373
1715006730,150,,Aggregated,185.800000,0.000000,10,13,16,19,28,44,76,260,690,1300,1300,7815,0,10,18.604490799742635,4.290900000341935,1283.479400000033,25832.094945617402
1715006731,150,,Aggregated,187.400000,0.000000,10,13,16,19,28,44,75,260,680,1300,1300,8007,0,10,18.4801096665405,4.290900000341935,1283.479400000033,25810.092044461097
1715006732,150,,Aggregated,189.000000,0.000000,10,13,17,19,30,46,75,250,680,1300,1300,8309,0,10,18.706525622817203,4.290900000341935,1283.479400000033,25836.67469009508
1715006733,150,,Aggregated,206.400000,0.000000,10,13,16,19,30,45,75,240,680,1300,1300,8438,0,10,18.588385920832707,4.290900000341935,1283.479400000033,25830.833609860158
1715006734,150,,Aggregated,202.400000,0.000000,10,13,16,19,29,45,73,240,680,1300,1300,8638,0,10,18.335241849963218,4.290900000341935,1283.479400000033,25837.8158138458
1715006735,150,,Aggregated,199.900000,0.000000,10,13,16,19,29,44,73,230,680,1300,1300,8770,0,10,18.230948084376326,4.290900000341935,1283.479400000033,25842.7
1715006736,150,,Aggregated,197.700000,0.000000,10,13,16,19,29,44,72,230,680,1300,1300,8957,0,10,18.099428368871724,4.290900000341935,1283.479400000033,25834.977112872613
1715006737,150,,Aggregated,197.500000,0.000000,10,13,16,19,28,43,70,220,540,1300,1300,9239,0,10,17.848018508494853,4.290900000341935,1283.479400000033,25837.28119926399
