Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://github.com/AthenZ/athenz,1879,0,7,47.41613751995967,4.6661999999741965,3301.9991999999547,26926.0,6.28553539529662,0.0,7,8,10,12,25,53,200,1700,3100,3300,3300
GET,/?url=https://github.com/Blealtan/efficient-kan,1879,0,6,23.051645769028195,4.280200000266632,2547.4715000000288,12672.0,6.28553539529662,0.0,6,8,10,12,23,40,140,290,2400,2500,2500
GET,/?url=https://github.com/adrianhajdin/banking,1879,0,6,67.76945146354304,4.43139999970299,4655.695899999955,20085.0,6.28553539529662,0.0,6,8,9,11,25,55,1100,3100,4600,4700,4700
GET,/?url=https://github.com/codecrafters-io/build-your-own-x,1879,0,9,84.44249153805352,6.662699999651522,3850.0906999997824,75907.0,6.28553539529662,0.0,9,11,13,16,30,60,2500,3100,3600,3900,3900
GET,/?url=https://github.com/fastfetch-cli/fastfetch,1879,0,6,53.86777637041281,4.497700000229088,2622.994099999687,22225.0,6.28553539529662,0.0,6,8,9,11,24,57,1100,2200,2500,2600,2600
GET,/?url=https://github.com/features/actions,1879,0,13,70.14920053219015,6.6530999997667095,4502.578099999937,17370.0,6.28553539529662,0.0,13,16,18,22,43,130,1100,1600,3800,4500,4500
GET,/?url=https://github.com/huggingface/candle,1879,0,7,23.565366631190553,4.809300000033545,1841.8744999999035,31003.0,6.28553539529662,0.0,7,8,10,12,25,54,140,440,1800,1800,1800
GET,/?url=https://github.com/karpathy/llm.c,1879,0,7,24.290809366679884,4.517899999882502,3233.483999999862,21233.0,6.28553539529662,0.0,7,8,10,12,24,44,120,300,2000,3200,3200
GET,/?url=https://github.com/marketplace/naming-conventions-bot,1879,0,6,23.797275518896264,4.272000000128173,3280.8860000000095,13038.0,6.28553539529662,0.0,6,7,9,11,24,50,150,630,1300,3300,3300
GET,/?url=https://github.com/tokio-rs/axum,1879,0,6,34.41613608302153,4.408499999954074,3734.3015999999807,17968.0,6.28553539529662,0.0,6,7,9,12,25,47,170,1400,2500,3700,3700
,Aggregated,18790,0,7,45.276629079297855,4.272000000128173,4655.695899999955,25842.7,62.8553539529662,0.0,7,9,12,14,27,55,240,1500,3500,4600,4700
