Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://github.com/AthenZ/athenz,480,0,1900.0,4928.836160833319,199.94869999936782,60067.427199999656,5421.79375,1.6018208883259941,0.0,2000,2400,2600,2800,3400,35000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/Blealtan/efficient-kan,503,0,1800.0,4079.007276540763,184.09780000001774,60063.34100000004,3745.304174950298,1.6785748058916146,0.0,1800,2400,2600,2800,3400,17000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/adrianhajdin/banking,453,0,1800.0,4434.248736203059,186.96509999972477,60065.55070000013,5368.311258278146,1.5117184633576568,0.0,1800,2200,2600,2900,3600,18000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/codecrafters-io/build-your-own-x,440,0,1800.0,4050.3582931818337,194.22470000063186,60072.396800000206,14611.454545454546,1.4683358142988279,0.0,1800,2300,2500,2800,3200,4400,60000,60000,60000,60000,60000
GET,/?url=https://github.com/fastfetch-cli/fastfetch,465,0,2000.0,5252.52934172046,194.30130000000645,60068.40370000009,5478.032258064516,1.5517639855658067,0.0,2000,2400,2600,2800,3500,35000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/features/actions,529,0,2100.0,6095.585936105853,184.9869999996372,60071.922500000255,4070.8638941398867,1.7653401040092727,0.0,2100,2700,3000,3400,7700,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/huggingface/candle,474,0,1900.0,5443.035532067518,189.05530000029103,60065.60999999965,6119.5907172995785,1.581798127221919,0.0,1900,2400,2700,2900,3500,60000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/karpathy/llm.c,495,0,1900.0,4593.323914949471,198.52979999996023,60065.922599999794,4530.288888888889,1.6518777910861815,0.0,1900,2300,2600,2800,3400,18000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/marketplace/naming-conventions-bot,491,0,1900.0,4533.051848676155,179.19590000019525,60060.14630000027,4018.859470468432,1.6385292836834648,0.0,1900,2500,2700,2900,3500,17000,60000,60000,60000,60000,60000
GET,/?url=https://github.com/tokio-rs/axum,446,0,1800.0,5626.907903587445,192.95919999967737,60065.377400000216,5348.197309417041,1.4883585754029027,0.0,1800,2300,2800,3000,4500,36000,60000,60000,60000,60000,60000
,Aggregated,4776,0,1900.0,4912.996024015916,179.19590000019525,60072.396800000206,5768.371231155779,15.938117838843642,0.0,1900,2400,2700,2900,3600,34000,60000,60000,60000,60000,60000
